number of bedrooms,number of bathrooms,living area,lot area,number of floors,Area of the basement,living_area_renov,lot_area_renov,Distance from the airport,Price,condition of the house
5,2.5,3650,9050,2,280,2880,5400,58,2380000,5
4,2.5,2920,4000,1.5,1010,2470,4000,51,1400000,5
5,2.75,2910,9480,1.5,0,2940,6600,53,1200000,3
4,2.5,3310,42998,2,0,3350,42847,76,838000,3
3,2,2710,4500,1.5,830,2060,4500,51,805000,4
3,2.5,2600,4750,1,900,2380,4750,67,790000,4
5,3.25,3660,11995,2,0,3320,11241,72,785000,3
3,1.75,2240,10578,2,690,1570,10578,71,750000,5
3,2.5,2390,6550,1,950,2010,6550,73,750000,4
4,2.25,2200,11250,1.5,900,2320,10814,53,698000,5
5,2.5,2820,67518,2,0,2820,48351,51,675000,3
4,2,1820,5000,1.5,180,2060,5000,69,650000,3
4,2,1520,6200,1.5,0,1910,6200,80,640000,3
4,2.75,2710,37277,2,0,2390,39299,74,630000,3
3,2.25,1750,1572,2.5,280,2410,3050,51,626000,3
4,2.5,2820,8408,2,0,1300,8408,55,625000,3
4,3.25,2730,54014,1,1170,2730,111274,70,625000,3
3,1.75,2360,7291,1,1000,1860,5499,75,615000,4
4,2.5,2730,12261,2,0,2730,10872,70,612500,3
3,2.5,3240,33151,2,0,4050,24967,71,604000,3
3,1.75,2330,14892,1,360,2570,14217,60,588500,3
4,2.5,3310,6500,2,0,2380,5000,80,555000,3
4,2.5,1940,10500,1,800,2200,10500,58,550000,4
3,1.75,2910,35200,1.5,0,2590,37500,50,550000,3
4,2.5,2860,3345,2,670,2860,3596,73,499950,3
4,1.75,1600,6380,1,470,1090,6380,50,495000,3
4,1.75,2190,125452,1,0,3000,125017,64,491500,3
2,1,880,6380,1,0,1340,6380,66,490000,3
4,2.5,2710,35868,2,0,2780,36224,71,482000,3
5,2.5,2210,9655,1,750,2080,8633,79,470000,3
3,1.75,1710,7320,1,0,2260,8839,72,463000,3
3,2.5,2680,5539,2,0,2990,6037,74,459990,3
3,2.5,2430,88426,1,860,1560,56827,78,452500,4
3,2.5,1270,1180,3,0,1320,1180,61,445700,3
4,2.25,2160,8119,1,1080,1850,9000,52,440000,3
2,1,800,4850,1,0,1150,4365,60,440000,4
3,2.5,1770,2875,2,0,1770,3833,68,439950,3
3,2.25,1970,35100,2,0,2340,35100,70,437500,4
3,2.5,1770,1235,3,170,1680,1203,52,436110,3
4,1,1450,8800,1,0,1260,8942,62,435000,4
4,1.5,1920,10000,1,850,1450,10836,64,430000,4
3,2.25,2000,8030,1,1000,2070,8250,61,420000,4
3,1.5,1570,6700,1,0,1570,7300,78,419000,4
3,2.5,1930,10460,2,0,2290,8228,63,407500,3
3,2,1960,13100,1,310,1960,10518,72,403000,5
4,2.5,3630,42884,1.5,1330,2830,80148,80,400000,3
3,3.25,1320,1327,2,280,1440,1263,51,385000,3
4,1.75,1560,8700,1,0,2080,8000,74,382500,4
4,3,3110,7231,2,0,2820,7311,66,367500,3
3,1,1090,6435,1,0,1340,6435,80,365000,4
3,2,1930,11947,1,0,2200,12825,66,342000,4
2,2,1350,2560,1,0,1790,2560,77,335000,3
3,2.25,1580,16215,1,0,1450,16215,56,335000,4
3,1,1160,9180,1,0,1160,10282,52,315000,3
3,1.5,1340,7912,1.5,0,1480,7940,65,313000,3
2,1,850,6174,1,0,1100,6174,60,308500,4
3,2.5,2540,5050,2,0,2280,5050,64,300000,3
2,2.5,1630,1368,2,350,1590,2306,74,295000,3
3,3,1850,19966,1,760,1410,6715,58,287200,4
4,2.5,2200,9397,2,0,2310,9176,80,285000,3
3,2.5,2090,10834,1,730,1750,8595,56,285000,4
3,1.75,1800,23103,1,0,1410,18163,62,284000,3
3,1.5,1180,10277,1,0,1680,11104,78,275000,3
4,2,1480,8625,1,0,2130,8502,60,260000,4
3,1.75,1370,5858,1,0,1400,7500,56,257950,3
3,1.5,1200,9720,1,0,1380,10284,77,242500,4
2,1,1210,9400,1,0,1580,6026,73,235000,2
4,2.75,2920,6605,2,0,3030,6605,62,625000,3
2,1,900,5000,1,0,1280,5000,68,553000,3
3,2.5,1650,14054,1,520,1940,87555,57,379880,4
3,1,1010,9945,1,0,1390,12710,60,310000,4
3,2.5,2850,7130,2,860,2280,6459,52,783500,3
2,2.5,2680,7392,1,0,2315,7045,65,775000,3
4,2,2280,6010,1,1140,2240,6200,51,628000,3
3,2.5,2200,7350,1,630,2350,7557,53,365000,5
4,2.5,2530,9933,2,520,2140,9933,59,331950,3
7,8,13540,307752,3,4130,4850,217800,55,2280000,3
2,2.5,2220,4000,2,0,1870,4000,67,1430000,3
5,3.5,4010,8510,2,1160,2610,6128,50,1400000,5
4,2.5,4340,141570,2.5,0,2720,97138,73,1090000,3
